Block Hash: 120706b1b2b440ac92b29748797de280dd421b0cae1f4dcbe1459ba55b497cc6
Previous Hash: 75585862589911993dba72d0fc1ed52df388a8dd408ebc91417034c7aa404d48
Merkle Root: 5dd3a640ef31ec2b71bc3e3baafdfe1aaf4b2150cf0438170b357b693b566a47
Random Number: 851231338
Forward Hash: 0
Timestamp: 2023-11-17 11:12:31
Transactions:
- David sends $17 to Emily
- Alice sends $50 to Charlie
- Bob sends $15 to Charlie
- Alice sends $24 to Bob
- Charlie sends $42 to Bob
- Emily sends $29 to Charlie
- Alice sends $43 to David
- Alice sends $36 to Charlie
- Charlie sends $10 to David
- Bob sends $19 to Charlie
==================================================
