Block Hash: 3b9066ba94ed6f44476bc5871111a0999da5d84551c1645b14ce669b88191422
Previous Hash: 4e11cba3f3eba41f14cc7165e0342f8c3db8b128e4901db721f7a41e23f2b7c5
Merkle Root: 8afe7edc84629a43a28eb85c1e3e5d8d7076ee4a1122f6b209b0e0319b2035c1
Random Number: 552455290
Forward Hash: 0
Timestamp: 2023-11-17 11:12:29
Transactions:
- Alice sends $45 to David
- Emily sends $16 to Alice
- Emily sends $16 to Alice
- David sends $46 to Charlie
- David sends $11 to Emily
- David sends $36 to Emily
- Emily sends $36 to Alice
- Bob sends $15 to Charlie
- David sends $45 to Alice
- David sends $11 to Charlie
==================================================
