Block Hash: 8379a810f859aeeb2298f96c68761b76b7bdce47fbd3139f353ef939638ddd7a
Previous Hash: 5c092503e38672cf6fe44545b37c5a80f120fb2314f041642c50ed1a37d7c7ad
Merkle Root: 8fd97fd98e15a6ee195c17371be0e561c5b2f88e2569c707707ddfb0245e961f
Random Number: 163862169
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Bob sends $28 to Alice
- Alice sends $44 to Bob
- Charlie sends $16 to Emily
- David sends $19 to Bob
- Charlie sends $22 to David
- Alice sends $21 to Bob
- Alice sends $18 to Bob
- Emily sends $11 to Bob
- Emily sends $49 to Charlie
- Emily sends $30 to Charlie
==================================================
