Block Hash: 47932a4ca650af645d2e352b4d7f2462c97d31a86c34b93d7cd86db3dd61f6e4
Previous Hash: 3124dba6808b8a0e70606763226e0070453054b80a9ec0d950a844397ce13bf1
Merkle Root: fcd1ca1ebe0b91e8496fb374512511ef091c74538589ecc02e42789106eec0d4
Random Number: 920813217
Forward Hash: 0
Timestamp: 2023-11-17 11:13:07
Transactions:
- Bob sends $36 to Emily
- Charlie sends $43 to Alice
- David sends $10 to Bob
- Emily sends $45 to David
- Emily sends $34 to Alice
- David sends $50 to Charlie
- Emily sends $18 to Charlie
- Emily sends $20 to David
- Emily sends $15 to Alice
- Alice sends $11 to David
==================================================
