Block Hash: f3e6f177fae940f473a2fb379e2076058f15d146bf933b66cd3ffbbb4f1503a2
Previous Hash: 06828665a12c44ca88c0028e10f563477f884b7d1c5b01b9eba919f71e6d5298
Merkle Root: 865161178c4150c65da2ebecfc71db8e623e8ad920165354973d8786ff90cfd9
Random Number: 608220066
Forward Hash: 0
Timestamp: 2023-11-17 11:12:33
Transactions:
- Bob sends $13 to Charlie
- Emily sends $33 to David
- Alice sends $48 to Bob
- Alice sends $42 to David
- Emily sends $46 to Alice
- Charlie sends $16 to Alice
- Alice sends $31 to Emily
- Alice sends $18 to Bob
- Charlie sends $32 to Alice
- Charlie sends $15 to David
==================================================
