Block Hash: e39e7a5808c2e7d728a3fa33904acd14d287892946582331bc10d4f0a18279e1
Previous Hash: a16a80d71ecea7bb6c2d6ed777f1045b2efd74b811ffb502cfa2b85e4c3b4ebf
Merkle Root: efa16a272d299f6078eb2f60a0a14e7d2c53337976bb4d7a0b4381ce7b651df6
Random Number: 518542371
Forward Hash: 0
Timestamp: 2023-11-17 11:12:31
Transactions:
- Emily sends $15 to Alice
- Alice sends $10 to Bob
- Alice sends $37 to David
- David sends $38 to Emily
- David sends $16 to Charlie
- Bob sends $29 to Charlie
- Bob sends $47 to Emily
- David sends $43 to Bob
- David sends $24 to Emily
- David sends $39 to Emily
==================================================
