Block Hash: 517b6a24ddce7bf10f722ccc23aeefd232d893574b5527b4be6e436fbf9df1f7
Previous Hash: 53040dffdf971635ae1156bafcbcc9f3ab91c1343798d2b9a5810141b875077b
Merkle Root: 987f097f1ed2101fd69b3aebd7ccdd6f92d66b4509cd0a4cd7744fe0211a2527
Random Number: 993467091
Forward Hash: 0
Timestamp: 2023-11-17 11:12:56
Transactions:
- Charlie sends $42 to Emily
- Emily sends $47 to David
- Alice sends $28 to Bob
- Emily sends $17 to Charlie
- Alice sends $33 to Charlie
- Emily sends $12 to Alice
- Emily sends $18 to Charlie
- David sends $45 to Alice
- Emily sends $33 to Bob
- Bob sends $36 to Charlie
==================================================
