Block Hash: 514c4097d32ac248f17d56c7df1c4e15c6b823d79121e89fcdc398783fed4db2
Previous Hash: 632ea0b316910eb7baf4fa4e46506526d92fa8335d905336e73def7e1ef0b6c9
Merkle Root: 308dfb85247c25d99c0421f52fc026944cde9bf6169c85e51764b791bc775efe
Random Number: 115168796
Forward Hash: 0
Timestamp: 2023-11-17 11:12:43
Transactions:
- Emily sends $41 to Bob
- Bob sends $39 to Emily
- Charlie sends $15 to Emily
- David sends $32 to Alice
- Charlie sends $15 to Emily
- Bob sends $16 to Emily
- Charlie sends $24 to David
- Bob sends $42 to Charlie
- Bob sends $21 to David
- Bob sends $18 to Alice
==================================================
