Block Hash: e3239cca4c5db5bee7d9514341acfa167794ac45ebb62ba9c4ef5aa53bb84f8d
Previous Hash: 950d7857096c6a3b9f234a24c0964bc71a77a5c0b694694db99a19e9f4bdba1c
Merkle Root: f3547ad609ddf0dd85a5ab1fe8e29db89136d1c0eab594eca450e22d4b2b0b89
Random Number: 309846137
Forward Hash: 0
Timestamp: 2023-11-17 11:12:31
Transactions:
- Charlie sends $21 to Alice
- Bob sends $23 to David
- Emily sends $47 to Bob
- Bob sends $31 to Emily
- Bob sends $20 to Emily
- Alice sends $16 to Emily
- Emily sends $33 to Bob
- Alice sends $22 to David
- Alice sends $43 to Bob
- Emily sends $25 to David
==================================================
