Block Hash: ca70013594b0c81a93abc4d0c8a199227fbc0aca6c6c2d2965ce8c74a3697735
Previous Hash: 0902d05f4623470b02e4670dfb4b6c1b2c9eb44c98aefc8190eda3ddd01d72cc
Merkle Root: 8558ed30df301a42b842668be74954745ad75c9f58790bdbaf5d1f0d1e7b8750
Random Number: 958989442
Forward Hash: 0
Timestamp: 2023-11-17 11:12:32
Transactions:
- Alice sends $22 to Charlie
- David sends $19 to Emily
- Bob sends $26 to Alice
- Bob sends $42 to Alice
- Charlie sends $10 to David
- Charlie sends $39 to Alice
- Emily sends $32 to Bob
- Charlie sends $35 to Bob
- Bob sends $16 to Alice
- Bob sends $14 to David
==================================================
