Block Hash: c14fbb3d7f5ed03fd2599f5b56c44157378c3547db0feb64458408694460f781
Previous Hash: 40cf77d89917d6c969dfbd8f816f739042c255ecc1fbf62d834543ba7ede8433
Merkle Root: eccd69dab2d1efdba59038103ef7177dc67951fa4e246a550c133214f0247e8c
Random Number: 534233779
Forward Hash: 0
Timestamp: 2023-11-17 11:12:58
Transactions:
- Bob sends $40 to Charlie
- Charlie sends $16 to Alice
- Alice sends $35 to Emily
- Emily sends $47 to David
- David sends $11 to Emily
- Emily sends $10 to Bob
- David sends $37 to Emily
- Charlie sends $50 to Emily
- Emily sends $26 to Alice
- Emily sends $21 to David
==================================================
