Block Hash: f5202d09e991c58be222936cbcaf08538f4d530ef4c39581f69e1cec180958de
Previous Hash: a99d7973c194e27835a377b1fad088f089c9b8f2c10ea74bc51fd1562d306a61
Merkle Root: 3b6be0cc44060650d06b06c333135b6f5d6a2afe7629221882cfbff32a6d02fa
Random Number: 57520429
Forward Hash: 0
Timestamp: 2023-11-17 11:13:08
Transactions:
- Bob sends $14 to Alice
- Emily sends $30 to Bob
- David sends $44 to Bob
- Charlie sends $25 to Bob
- Charlie sends $10 to Bob
- Alice sends $34 to Bob
- Emily sends $39 to David
- David sends $17 to Bob
- David sends $20 to Bob
- David sends $47 to Emily
==================================================
