Block Hash: 3f397b8fe1541fdab2c3d1b7f8e6ffaf84ba22f7adbde588985fede968cef09c
Previous Hash: dfff44ec500ba053198b5fe3a3463f19c731fe3e93ceec2e04a9522f4c9342de
Merkle Root: 289405a36091c49bae437af9ac47df2a775e83d5dccfdb607f1bb1a92819068f
Random Number: 802742119
Forward Hash: 0
Timestamp: 2023-11-17 11:12:58
Transactions:
- David sends $42 to Charlie
- Charlie sends $27 to Emily
- Alice sends $28 to Emily
- Charlie sends $31 to Bob
- Bob sends $33 to Alice
- Charlie sends $10 to David
- Charlie sends $33 to Emily
- Emily sends $12 to Bob
- Emily sends $41 to David
- Bob sends $29 to Alice
==================================================
