Block Hash: 472fefc9e2977912db6a4029251e59a090127be3cd751f1263a0d06481751298
Previous Hash: ab5f4cd6f17937cedf3a189eeeef6c8bf98b4f156fb9c51f4d6493219b7883c2
Merkle Root: cc108faf31a07451b0f6ad1077c07f56f8d5cee3a55d9bb4ef4cb180ecdac613
Random Number: 884329675
Forward Hash: 0
Timestamp: 2023-11-17 11:12:52
Transactions:
- Bob sends $44 to David
- Emily sends $28 to Bob
- Charlie sends $47 to Bob
- Charlie sends $27 to Emily
- Emily sends $50 to Bob
- Charlie sends $34 to Emily
- Emily sends $19 to Charlie
- Charlie sends $13 to Bob
- Charlie sends $29 to Emily
- Emily sends $45 to Alice
==================================================
