Block Hash: 5ab47731a561397c0b3cc4ca99acd34220047cd9dce34cf8037804de8b6eb7d8
Previous Hash: c972d3ed18de4193be4ae3267f6ef1353343023d8d5fdb6a66113d62b093a6ea
Merkle Root: 3ff9015e7f707c75a2ee412743b7f41afd432bc2bb47b8630ea62bbf2eb83246
Random Number: 6211113
Forward Hash: 0
Timestamp: 2023-11-17 11:12:47
Transactions:
- Alice sends $14 to David
- David sends $39 to Charlie
- Emily sends $34 to Charlie
- Emily sends $30 to Bob
- Bob sends $41 to Alice
- David sends $46 to Charlie
- David sends $30 to Bob
- David sends $24 to Charlie
- Emily sends $13 to Bob
- David sends $13 to Charlie
==================================================
