Block Hash: 0c52cde2e22f58d06faf424238764d24d2d09443ae2ab3a425c10ddda91843f3
Previous Hash: 34af3973d6a9a0f20ac723cfed7e0577d51fa92ec0e9f9d948cf660ddb091923
Merkle Root: 1a6b582ef2fcb97136eade018ced4363855dd88ba498daab2a614466a7f7e836
Random Number: 710734956
Forward Hash: 0
Timestamp: 2023-11-17 11:12:47
Transactions:
- Bob sends $14 to Charlie
- David sends $49 to Bob
- David sends $14 to Alice
- David sends $29 to Emily
- David sends $42 to Alice
- Alice sends $42 to Emily
- Alice sends $41 to David
- David sends $39 to Bob
- David sends $46 to Alice
- Alice sends $11 to Bob
==================================================
