Block Hash: 60455b09c588fffb05108e4100fcb4146f5d7671682ae7c14f84a0e6dc0b1a6d
Previous Hash: ba7090cdfec8c23af733989fc233cd1354cc7453d6effcc19e827cb800f912b8
Merkle Root: a9145caea3af61a23ba1daa15c6b1269ade70a3a4193e9c0a05c97a9311d1415
Random Number: 583411673
Forward Hash: 0
Timestamp: 2023-11-17 11:13:08
Transactions:
- Emily sends $28 to David
- Alice sends $27 to Charlie
- Alice sends $12 to Bob
- Charlie sends $32 to Alice
- Charlie sends $39 to Alice
- Bob sends $26 to Emily
- David sends $18 to Alice
- Bob sends $21 to Emily
- David sends $39 to Alice
- Alice sends $43 to Emily
==================================================
