Block Hash: 1b0bc0e313b6606c8072655a4e5d9908689d132f4d56dce36d8d471e67e37576
Previous Hash: ab09994b136e46a564ac0e9aba5d676e3884f0b060f142be830b0a004cbd9711
Merkle Root: 633f8b1519f3a8be5b16d7a4fd3445cf251e38759299bc525023fe7e6332cd4a
Random Number: 204386445
Forward Hash: 0
Timestamp: 2023-11-17 11:13:00
Transactions:
- David sends $25 to Alice
- Bob sends $42 to Emily
- Alice sends $20 to David
- Bob sends $36 to Charlie
- Bob sends $46 to Emily
- Alice sends $19 to Emily
- Bob sends $41 to Charlie
- Charlie sends $12 to David
- Charlie sends $13 to Emily
- Alice sends $23 to Bob
==================================================
