Block Hash: 25e95ae5a7f7d4cbabcd9f3a73f1839eff2fa03931cdb9b16c700ae0ff35bc24
Previous Hash: bb92199d6a80cd03e53b480aa73ef564eb590a15339b5a4b25a138e5d7b6e3ea
Merkle Root: 72a92b3c05ea8e43ba38fc02cd4ac5f60e7533de8fb43ede3ef41b77ebfd492f
Random Number: 602982242
Forward Hash: 0
Timestamp: 2023-11-17 11:12:58
Transactions:
- Alice sends $27 to Emily
- Bob sends $18 to Charlie
- David sends $23 to Charlie
- Charlie sends $41 to David
- Bob sends $45 to David
- David sends $20 to Charlie
- David sends $46 to Charlie
- Emily sends $15 to David
- Charlie sends $40 to David
- David sends $17 to Alice
==================================================
