Block Hash: 45acc337d89aecd45523b1dde24a9262e67a13568f005204fdfbef882e5c656a
Previous Hash: 14f824289d295e8b32adddfedf34b40684b849a862c16af8c009fbfffb309449
Merkle Root: 1eee764534dc9ed5fba38fb586c35901d97c2f5631c8176e2e821ea165016dfb
Random Number: 572854246
Forward Hash: 0
Timestamp: 2023-11-17 11:12:42
Transactions:
- David sends $29 to Emily
- Charlie sends $40 to David
- Emily sends $41 to Charlie
- Bob sends $11 to Charlie
- Charlie sends $29 to Bob
- Charlie sends $16 to Bob
- Alice sends $28 to David
- Alice sends $19 to Bob
- Alice sends $29 to David
- Alice sends $16 to David
==================================================
