Block Hash: b6fa94911901260f44e337e246c721ebc5b4df7dc07ddb6e336bd9795b81134c
Previous Hash: 3f6b35c71846558ba1da7f99ac768f0dffaad67ab3699d93ec9edf0aa1405674
Merkle Root: 62c9d55478471c25d37924b15850c6b8418a83b22ee9744d2bfd668ffe144940
Random Number: 224461632
Forward Hash: 0
Timestamp: 2023-11-17 11:12:55
Transactions:
- Alice sends $12 to Emily
- Charlie sends $11 to Alice
- David sends $26 to Alice
- Charlie sends $43 to Bob
- Emily sends $34 to Alice
- Charlie sends $48 to Bob
- Bob sends $19 to Alice
- Emily sends $30 to Charlie
- David sends $19 to Bob
- Emily sends $11 to Alice
==================================================
