Block Hash: 5131e2d880fa81e3af2b8208fd971e17e9583eef06d6c69e491ee1da75a92a63
Previous Hash: 84f32c9225f0f3e91bce10b89b796769db27c5fa57ee504b128d3cd70b673fd9
Merkle Root: 4c29486c123ba5fb42ebb596b48c3fa470849156bbf05a4bddc2219651f33618
Random Number: 711476542
Forward Hash: 0
Timestamp: 2023-11-17 11:12:57
Transactions:
- David sends $24 to Alice
- Charlie sends $50 to Bob
- Alice sends $31 to David
- Bob sends $42 to David
- Emily sends $41 to Bob
- Bob sends $43 to Charlie
- Charlie sends $33 to Bob
- Charlie sends $18 to Emily
- Charlie sends $13 to Bob
- Emily sends $45 to Charlie
==================================================
