Block Hash: 539784ff49e657ce19cc3fa382c78347cf32adad72454202165dd16773cce5c0
Previous Hash: 3be897496c92a9b7f79a48532d0bf7ab50e4deb9c179811e39f6587f5e2c56f8
Merkle Root: ddedd929394e177d3f1ab8a9ac752b9f7ba613ddd7ad804beb6d4516678d335d
Random Number: 123454095
Forward Hash: 0
Timestamp: 2023-11-17 11:12:56
Transactions:
- Bob sends $47 to Alice
- Emily sends $41 to David
- David sends $10 to Charlie
- Alice sends $39 to David
- Emily sends $34 to Charlie
- Emily sends $43 to Charlie
- Emily sends $11 to Charlie
- David sends $44 to Charlie
- Charlie sends $31 to Emily
- Emily sends $13 to David
==================================================
