Block Hash: 2016fc5ce55f8952f900c584c49db50f894a7272b738b26bf73fbb79f45719bb
Previous Hash: fd73b025890bcdc6fec648b9ec27d353bcff1323681757405f683a16d4136071
Merkle Root: 0e33a21b4a8876b1d1025bbcbc46b3646c0427d8bd63c3d9daa14b75d3d2382b
Random Number: 859013914
Forward Hash: 0
Timestamp: 2023-11-17 11:12:32
Transactions:
- Alice sends $33 to Bob
- Bob sends $25 to Emily
- Emily sends $26 to David
- Bob sends $31 to Charlie
- Emily sends $34 to Charlie
- Emily sends $10 to David
- David sends $46 to Charlie
- Emily sends $45 to David
- David sends $35 to Charlie
- Emily sends $30 to Alice
==================================================
