Block Hash: 954bd3a602f4321f4d67502ae8ac8f7e5e8134b770dde71990fbd03ab9bef51a
Previous Hash: b6812d81198d6f6b0cc103d81ea84e81498cb337519b4794b7a275f0622c5c29
Merkle Root: f42f59a77d8ede6dbec4016695aa7a2deadc25ea36cd4daed016523c43009c7d
Random Number: 579890441
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- David sends $42 to Alice
- Alice sends $10 to Bob
- Emily sends $27 to Charlie
- Charlie sends $43 to David
- Emily sends $24 to Bob
- Emily sends $23 to Charlie
- Emily sends $41 to Bob
- Charlie sends $31 to Bob
- Emily sends $24 to Charlie
- Emily sends $14 to Bob
==================================================
