Block Hash: 05004a9dab83f16c1f226e536aaa181503706d2e857eb3d87e50394491cd9d6f
Previous Hash: bd89ff4a23421da4a519829745f82261b80dae939bab2be04159504339a85711
Merkle Root: 0725a4ac9d420f0a44142d94a2623563ca4e3a7813b62921c2d10874c51bbd13
Random Number: 255993149
Forward Hash: 0
Timestamp: 2023-11-17 11:13:02
Transactions:
- Charlie sends $29 to Alice
- Alice sends $13 to Charlie
- Alice sends $11 to Bob
- Emily sends $17 to Charlie
- David sends $49 to Charlie
- David sends $44 to Charlie
- Alice sends $25 to Bob
- Bob sends $18 to Emily
- Emily sends $20 to Charlie
- Emily sends $31 to David
==================================================
