Block Hash: 3d68963224e41b888fe92e1507100253495512e81b8b2a5122e04b715c2fcdd1
Previous Hash: a48765a97269763ce45bb350350386618c5ea46463150a044fcd1cc852275d78
Merkle Root: 649ace46a5f5114a64a19ea5b87a1d3c6077d077e599b907c6bd44577801fb74
Random Number: 281952544
Forward Hash: 0
Timestamp: 2023-11-17 11:12:33
Transactions:
- Charlie sends $32 to David
- Alice sends $34 to Bob
- Emily sends $12 to Charlie
- Bob sends $45 to Charlie
- David sends $32 to Bob
- David sends $27 to Charlie
- David sends $15 to Bob
- David sends $39 to Emily
- Bob sends $25 to Alice
- Bob sends $27 to Charlie
==================================================
