Block Hash: 981041c3c77d3aa15c83a217d6d0f56ef024334770c34dda13e5fcebb31d148e
Previous Hash: 3493085d579788e2ed243b2a0fe04d99b0bbc613aa7f77ec7879c6a1d4a8c297
Merkle Root: bf2fa8a6aad7ed98efc7dfa56354a0ce7c95bf090af8af605e78757e8925604e
Random Number: 35992666
Forward Hash: 0
Timestamp: 2023-11-17 11:12:59
Transactions:
- Alice sends $13 to David
- Bob sends $28 to Alice
- Emily sends $36 to Bob
- Bob sends $27 to Emily
- David sends $16 to Charlie
- Bob sends $16 to Emily
- Charlie sends $37 to Alice
- Emily sends $49 to Alice
- Bob sends $34 to Alice
- Charlie sends $35 to Bob
==================================================
