Block Hash: 333f55efaf6b63963bafa5e866d29a38148503a3ad78fd970af51dabfc8c2b0f
Previous Hash: af45e9e95401b68e9fa27b7adfbe6581667ce5e1dc1c3b027df90a0455e9c91c
Merkle Root: 0b5beb2cab8297bb23b0010e6b65f518055197b00f05e83cdf20015b4a0be1b1
Random Number: 836734225
Forward Hash: 0
Timestamp: 2023-11-17 11:12:43
Transactions:
- Bob sends $31 to Emily
- Emily sends $25 to David
- Alice sends $21 to Bob
- Alice sends $39 to David
- Emily sends $47 to Bob
- Charlie sends $22 to Bob
- Charlie sends $27 to Bob
- David sends $16 to Bob
- Emily sends $34 to Alice
- Emily sends $11 to David
==================================================
