Block Hash: 61706c1083ac956cea8ab513a146a92e3fb1a9a78260bd0d46e7d90acde6147e
Previous Hash: 6f7436a768fa1ce0a35e9ce9e8d2085c2861c223b1ce6f8f3cfd5288b6ea44a1
Merkle Root: 6e285b4ca8ee8a952bb71c7b0a2185affe05a55b89faa6721a3caf75bdddbbcd
Random Number: 237788000
Forward Hash: 0
Timestamp: 2023-11-17 11:12:36
Transactions:
- Bob sends $40 to David
- David sends $22 to Bob
- Alice sends $39 to Charlie
- Charlie sends $18 to Alice
- Charlie sends $28 to Bob
- Charlie sends $45 to Alice
- Charlie sends $10 to Emily
- Charlie sends $37 to Alice
- Emily sends $17 to Charlie
- Charlie sends $48 to Alice
==================================================
