Block Hash: d7126cf49c0a9df167c885dca0203903a49ca819fb880407ef2851b717e59292
Previous Hash: 03ac83151d0c73d4b57ad9074882989a3ce56311047a500c691c64648b471bbd
Merkle Root: 9d5709c165ae23a45087b88dc40d60493ca09d3ce9ca7204a2d74900a5a316e6
Random Number: 967237354
Forward Hash: 0
Timestamp: 2023-11-17 11:12:58
Transactions:
- Charlie sends $50 to David
- Bob sends $50 to Emily
- Emily sends $50 to Charlie
- Emily sends $39 to Alice
- David sends $20 to Charlie
- Alice sends $39 to Bob
- Bob sends $38 to Alice
- David sends $41 to Alice
- Alice sends $47 to Bob
- David sends $46 to Bob
==================================================
