Block Hash: 07b9a7d35c145b65740ce88e580aa9a964e735ce8039c09cbc153ec3b84d03c1
Previous Hash: 1c00214c980e9493b5322dcac65f7cc133d69354febc89f52b071c919f5859eb
Merkle Root: 28078c2fff23bed143519cea14d7bd8c3bed3385ee77c8d3eea94314e5c9d65f
Random Number: 657776671
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- Alice sends $47 to David
- Bob sends $29 to Emily
- Emily sends $26 to Charlie
- Charlie sends $31 to Emily
- Emily sends $29 to Bob
- Bob sends $30 to Alice
- David sends $26 to Alice
- Bob sends $31 to Charlie
- Bob sends $24 to Emily
- Emily sends $26 to Alice
==================================================
