Block Hash: 8f5c45b2efe7bc181c259c291c734eff37e2242913b9efd6489a33dc46ee40ce
Previous Hash: a98b0daf54ad6a92bc09bf000cb3df23dadc0c892e7deaaaaa7650d140ab108b
Merkle Root: 7a8e711c8aeda5513c3105b74dad8bc973b2a8705f168b565557770bd825f2af
Random Number: 983715145
Forward Hash: 0
Timestamp: 2023-11-17 11:12:47
Transactions:
- Alice sends $15 to David
- Charlie sends $30 to Alice
- Charlie sends $15 to Bob
- Bob sends $10 to Alice
- Charlie sends $33 to Bob
- Charlie sends $31 to Emily
- Bob sends $11 to Emily
- Bob sends $43 to Charlie
- Bob sends $16 to Emily
- David sends $36 to Bob
==================================================
