Block Hash: 80f66d0e79b15a81ec6b4fa876d6d06e43e3aa9f59692507789e60ebec3e2c7f
Previous Hash: cd3cb06142e6e930e3e5c4122b86f048197f6a3b96b0db94ee8a98ca16aea9ed
Merkle Root: c078c2605fe3103ec4c25e79e5ab356cbf953e3ea15472fff106c57dc3838f76
Random Number: 82412958
Forward Hash: 0
Timestamp: 2023-11-17 11:12:31
Transactions:
- Bob sends $46 to Emily
- Alice sends $14 to Bob
- Emily sends $28 to Alice
- Charlie sends $24 to David
- Alice sends $18 to David
- Emily sends $15 to Alice
- Emily sends $13 to Alice
- Charlie sends $42 to David
- Emily sends $24 to Charlie
- Emily sends $42 to Bob
==================================================
