Block Hash: 16074ee96f4f689019f1f2beaeb8e210c60c11271b54fdd644e4431383c9c3ef
Previous Hash: 60a57820fc2e48fb21f5c2d613844d12f33655ead00060b474c8c02ceaf60b31
Merkle Root: 7f1db64748721241fcb50a6eaa4fe9dca6b942cf401218a2c21db2d7ec731ab1
Random Number: 456211273
Forward Hash: 0
Timestamp: 2023-11-17 11:12:53
Transactions:
- Emily sends $35 to Charlie
- Bob sends $18 to Alice
- Bob sends $49 to Alice
- David sends $30 to Bob
- Bob sends $46 to Alice
- Charlie sends $47 to David
- David sends $40 to Alice
- David sends $33 to Emily
- Charlie sends $10 to David
- Alice sends $33 to Emily
==================================================
