Block Hash: d4dc1481631c03415be90734ea2181c61d2d06238df52154f40ee7ab214bd488
Previous Hash: 4715ba4aa678a7a59ef89af7361377b3b93cdb7510d4222e2a5d9eddc7c4513a
Merkle Root: 893b65e3e3e86aa3afb4c0bdcca28dc297694ea6d73a87e88409e52cc76ccdac
Random Number: 51947529
Forward Hash: 0
Timestamp: 2023-11-17 11:12:36
Transactions:
- Bob sends $25 to Charlie
- Charlie sends $24 to Alice
- Emily sends $50 to Alice
- Charlie sends $27 to Alice
- David sends $50 to Emily
- Alice sends $43 to David
- David sends $35 to Bob
- Charlie sends $30 to David
- Charlie sends $10 to Bob
- Alice sends $21 to Bob
==================================================
