Block Hash: 0c37af584991b1743fa8f96673356b3fa1bd6ba04e104d95462e16ef9afee409
Previous Hash: 0408a263b4b1575c97216b54bca49ccd85815a7e44773038c017490ca43deaa6
Merkle Root: 03d429d0a6eef70f8a06e52938cdaa6cac6c32dbf655800329ae187ad5a87861
Random Number: 89894101
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- Bob sends $16 to Alice
- David sends $21 to Charlie
- Alice sends $49 to Bob
- Emily sends $25 to David
- Charlie sends $44 to Emily
- Charlie sends $34 to Emily
- David sends $38 to Emily
- Alice sends $39 to Emily
- Alice sends $33 to David
- Emily sends $12 to David
==================================================
