Block Hash: e0f30fb0d96dd99d8fc451342116379891845bc5b2df0ec618f9919d1e5bf284
Previous Hash: 1325971a059341c9f6c18ec7c7251c98d69a25ca138164f8e4988bac753a2875
Merkle Root: 01c20eb66c822e09ffd5f3698d9d88300ba2cb4b6a3207d7eaa2f6754e335243
Random Number: 275047016
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- Emily sends $16 to Alice
- Bob sends $17 to David
- Bob sends $29 to David
- David sends $42 to Charlie
- David sends $14 to Charlie
- Alice sends $49 to David
- Bob sends $15 to David
- Alice sends $16 to Bob
- Alice sends $49 to David
- David sends $32 to Charlie
==================================================
