Block Hash: 61312221c8370e30f2c9760e85e66754575774acf2c3255174dfb1aa382053eb
Previous Hash: 462fd53be9612b3e22530e2952284d4d4d2f3c69b6cf359b9b9ed9fed3153ca9
Merkle Root: 03a9f730cf439dd2b636c1cefdd862fc736511b326c179a870f5e6b0b91cc19c
Random Number: 446450937
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- Bob sends $35 to Emily
- Charlie sends $30 to Alice
- Charlie sends $10 to David
- Alice sends $18 to Charlie
- Emily sends $49 to Charlie
- Emily sends $25 to Charlie
- Alice sends $15 to Bob
- Alice sends $11 to David
- David sends $43 to Alice
- David sends $37 to Charlie
==================================================
