Block Hash: a0af1777cd2d567375f6b639809c318005d477b384f05febb981d572876333e3
Previous Hash: 3b466e6697bf1e4cf28b06d52870cd7eb88e92bc1be364b5ed5112700791bcfb
Merkle Root: 3084a3a3646487da0d48923b4634ecf3d83e7370afbcdec19e97668fac9c2f90
Random Number: 341516882
Forward Hash: 0
Timestamp: 2023-11-17 11:12:32
Transactions:
- Bob sends $13 to Emily
- Charlie sends $15 to Alice
- David sends $36 to Alice
- David sends $32 to Bob
- Alice sends $37 to Bob
- Emily sends $30 to Bob
- Charlie sends $45 to Bob
- Charlie sends $38 to David
- Charlie sends $29 to David
- Emily sends $47 to Alice
==================================================
