Block Hash: e12723731ed369af33398a284d67f934bed44396b171289c5225132d50bc2242
Previous Hash: 921cc8e26cbb7e9f6eea0e16a8b3d31e36786d7b50f57594c4cb8658b8ef619e
Merkle Root: 2caf7c924ac70c99bf055c8331a52de0c2fedc0dbfe70946d16d6a06bb8c247b
Random Number: 507642484
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- David sends $20 to Bob
- Charlie sends $29 to David
- Bob sends $50 to David
- Charlie sends $38 to Alice
- Charlie sends $14 to Alice
- Alice sends $14 to David
- Bob sends $24 to Emily
- Bob sends $39 to David
- Emily sends $12 to Charlie
- Charlie sends $18 to Alice
==================================================
