Block Hash: 74081d0b2da90c465c091cd5fe5dbf6e45e5e4762ab5ec66e7c1c991cc978393
Previous Hash: 2a5af1696e75a753642553d92cc21a7612002d358ba11cd9d96770b3cb28c089
Merkle Root: aad1848f1f54d0f87cc27f98caa4df53d9fe8e38036660c4b7210eaad6c6e0f3
Random Number: 429696618
Forward Hash: 0
Timestamp: 2023-11-17 11:12:34
Transactions:
- Emily sends $43 to Bob
- Bob sends $14 to David
- Alice sends $46 to Charlie
- Alice sends $36 to Charlie
- Bob sends $50 to Alice
- Alice sends $16 to Emily
- David sends $29 to Alice
- Alice sends $29 to Emily
- Charlie sends $50 to David
- Alice sends $28 to Emily
==================================================
