Block Hash: b6d068cfbd887832c7aa8f3b4a377f48b171c802246b3e15dbd8f7feb3407bec
Previous Hash: 118688e06ef696dd84988373f545659242faae1c52f1d6c2561be44751d4bbeb
Merkle Root: d277fb1644bce4d4488c97b3eaf50c438ef8b6a9a5f498253cfdcd9bf79add5d
Random Number: 806100726
Forward Hash: 0
Timestamp: 2023-11-17 11:13:04
Transactions:
- Emily sends $28 to David
- Charlie sends $14 to Emily
- Alice sends $19 to Charlie
- David sends $22 to Charlie
- David sends $18 to Charlie
- David sends $34 to Alice
- Alice sends $10 to Bob
- Alice sends $36 to Charlie
- Bob sends $34 to Alice
- David sends $24 to Alice
==================================================
