Block Hash: 97c83d23c326d21d0b4872ea0db2db59e85e3ea8b0d418847ffecafc4dbfec4e
Previous Hash: 8482eee953ea288e8182bcb6c69e49aa659a76a18325f9d711fdebcb4406187e
Merkle Root: 5fbda9964b6e7f690c6a592b50d10793faa319fc4c69fec60510c25f0f5dbd85
Random Number: 309716704
Forward Hash: 0
Timestamp: 2023-11-17 11:12:33
Transactions:
- David sends $21 to Emily
- Emily sends $21 to Alice
- Charlie sends $22 to Bob
- Alice sends $12 to Bob
- Emily sends $10 to David
- Emily sends $35 to David
- Charlie sends $38 to David
- Alice sends $36 to David
- Alice sends $10 to Charlie
- Alice sends $18 to David
==================================================
