Block Hash: 556fb4067d8d29db5573d7c5fd7067e5df1588ced765928ef103659f0d66ab7e
Previous Hash: 60fe4a84738c5ec37d78ad109ee51e58f00f43fcba50f7851fa6ad9e8ff840a4
Merkle Root: 535d074f2a58978d121c3371eb4fd091b676b6dd0c001487a5e81798b8299ab0
Random Number: 462201852
Forward Hash: 0
Timestamp: 2023-11-17 11:12:53
Transactions:
- Charlie sends $46 to Emily
- Emily sends $17 to David
- Bob sends $11 to David
- Alice sends $36 to Charlie
- Alice sends $40 to David
- David sends $46 to Bob
- Alice sends $40 to David
- Alice sends $34 to Bob
- Bob sends $32 to Charlie
- David sends $43 to Alice
==================================================
