Block Hash: 1842f05deaba580d32ebdcbc440acda1d2ebcf812dc270e5fab18a686a8af891
Previous Hash: 90b305e076a11b1317bc04053fe9694d6d29a2cbfa8073399b2cc0c442f4cef9
Merkle Root: 1fa33fd29f1408b10133a8f08a83f1a09969c942bc565a4edbac56dce2a39d4d
Random Number: 181462171
Forward Hash: 0
Timestamp: 2023-11-17 11:13:07
Transactions:
- Charlie sends $12 to Bob
- David sends $12 to Charlie
- David sends $39 to Alice
- Alice sends $37 to Charlie
- David sends $23 to Alice
- Emily sends $47 to Charlie
- Bob sends $33 to David
- Emily sends $26 to Charlie
- Emily sends $49 to David
- David sends $21 to Alice
==================================================
