Block Hash: 1ffa30c81971fda504ac623a112e48e6aef73380d043f362ef37d80224c327f1
Previous Hash: bebb3836b14798134311064bac1ade1b480064554c73be3f90f7b1ff98f86ccd
Merkle Root: b8315646d4c514f278faf6d9604643ce2474bf44c9f1935d0db554d029159de7
Random Number: 55629550
Forward Hash: 0
Timestamp: 2023-11-17 11:12:56
Transactions:
- Charlie sends $45 to Bob
- Bob sends $14 to Emily
- Alice sends $29 to Emily
- Alice sends $24 to David
- David sends $29 to Charlie
- Bob sends $38 to Charlie
- Bob sends $18 to Alice
- David sends $17 to Charlie
- Alice sends $21 to David
- Bob sends $36 to David
==================================================
