Block Hash: aefa44633696c8265767080ede3cf0b5ed4faa532649be9239dbdf80b4e6bb0c
Previous Hash: 326cce086b870079d2aaa3d4d17e18a181aef647192ee9084b30f4ac54c71442
Merkle Root: 446accedc81c3fa1052665eec3d6919741719abcc7640e420953ca002040a540
Random Number: 841651246
Forward Hash: 0
Timestamp: 2023-11-17 11:12:58
Transactions:
- David sends $34 to Charlie
- Charlie sends $40 to David
- Charlie sends $48 to David
- Alice sends $50 to Emily
- Bob sends $39 to David
- Alice sends $32 to David
- Bob sends $21 to Alice
- Emily sends $41 to Alice
- Charlie sends $20 to Alice
- Alice sends $36 to David
==================================================
