Block Hash: c5ba96c945b0e5462ab03013616efd5b3e68cd2b5bc5b09a5fbba05f8133bce9
Previous Hash: 53b96d1baae04b9dbb54d7e2032f47012ceeb424b539ec5da52b5de3d6e4e7e2
Merkle Root: c1a100c69e1b46a4e1816d1eb14eb77c0622f406d2dcd09a0b1a99e9ba412ba7
Random Number: 706090462
Forward Hash: 0
Timestamp: 2023-11-17 11:13:01
Transactions:
- Emily sends $43 to Bob
- Charlie sends $21 to Emily
- Bob sends $30 to Alice
- David sends $33 to Emily
- David sends $20 to Emily
- Bob sends $12 to David
- Alice sends $15 to Emily
- Bob sends $20 to David
- Bob sends $36 to Emily
- Charlie sends $15 to Alice
==================================================
