Block Hash: ba6991148248c911dd3534519c396de23eb3a06bf158bc55c57c575e143f3c12
Previous Hash: d577371e35a1351f515fd618d88e61ac8c16a49e76b7ff5072a03956aa732bbd
Merkle Root: 45d5aa534bdbbb0b13041567054cd647ab19d034a0b3b9c13aaa3ee3a17653a9
Random Number: 98260877
Forward Hash: 0
Timestamp: 2023-11-17 11:12:39
Transactions:
- Alice sends $49 to Emily
- Charlie sends $19 to David
- David sends $18 to Charlie
- David sends $40 to Bob
- Emily sends $38 to Bob
- David sends $24 to Alice
- Charlie sends $40 to David
- Emily sends $33 to Alice
- Bob sends $35 to Charlie
- Emily sends $42 to David
==================================================
