Block Hash: c61379dfcda557edc2aa230bbdb57a9bb2e9c763baa9ed1f43873aaf41a13f89
Previous Hash: a54f9d163d18031c408a79c0e2b46ab5097c818e5cda09ef238e96613bf959e0
Merkle Root: 80d10340726eb355273fba4d1340bea5a542e41a3f15b02cf32e2ff8fd0d3214
Random Number: 768265376
Forward Hash: 0
Timestamp: 2023-11-17 11:12:51
Transactions:
- Emily sends $24 to Alice
- Charlie sends $40 to Emily
- Charlie sends $31 to Emily
- Bob sends $30 to Charlie
- Bob sends $14 to Emily
- Bob sends $33 to David
- David sends $29 to Bob
- Alice sends $32 to David
- Charlie sends $13 to Bob
- Alice sends $35 to Emily
==================================================
