Block Hash: 468e091d6c6da73c29eff19b862dda1c906c66eefc4f19acb479377714c8f0ee
Previous Hash: 97389e49c227ce17f7dd06c169bd6d262d0412897b638185ebf7a0cf49e41492
Merkle Root: 99864d0b155b5dee0ee0a7d36a41673e836cb1929a3d903fc00167ac2707c958
Random Number: 908888234
Forward Hash: 0
Timestamp: 2023-11-17 11:13:03
Transactions:
- Charlie sends $32 to Emily
- Alice sends $38 to Charlie
- Emily sends $46 to Bob
- David sends $18 to Bob
- Bob sends $17 to Alice
- Bob sends $13 to Alice
- Alice sends $28 to Charlie
- David sends $14 to Bob
- Emily sends $33 to David
- David sends $34 to Charlie
==================================================
