Block Hash: b33a23516eb6e0ed8d9adca92010d801609f2d059defef5571ff6e9cea8a49ee
Previous Hash: 811e4be7db85d149dacd8d6c8d4196c8435208e119a30f8cff16e30b8206a4a8
Merkle Root: 394543225bbfa76c1b0f1fef6824a6c2ac7459516f1f23f26ed2cd2cad518356
Random Number: 983384161
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Emily sends $23 to David
- Charlie sends $32 to Alice
- Alice sends $20 to Charlie
- Bob sends $15 to Alice
- David sends $32 to Bob
- Bob sends $50 to Charlie
- Alice sends $45 to Bob
- David sends $16 to Bob
- Bob sends $18 to Alice
- Bob sends $27 to Alice
==================================================
