Block Hash: bbd43d3969c1d60fa021c3902935046518fb7d46f47d6ce16a0caf6d49074b68
Previous Hash: cf8b55bbcc5e91065256709213ab7fe16e57db43b78082ea970e3a369a76cdba
Merkle Root: 4164a677abf54f19b33b3908708985f6b31e9b7572b68f286180fdc44fe96719
Random Number: 570231386
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- David sends $27 to Charlie
- Emily sends $31 to Bob
- Bob sends $26 to Emily
- Emily sends $41 to Bob
- Alice sends $45 to David
- Bob sends $46 to Emily
- Bob sends $32 to David
- Alice sends $21 to Emily
- Bob sends $18 to David
- Bob sends $36 to Alice
==================================================
