Block Hash: c6ff93c3139fa4b26abdb941a55481b8465499878bb7c7e8b0063b0f3a5051c7
Previous Hash: a1b1344eb535c37a3f0e39fffa4dd969443dd304457ac0cfeabc5270ebe7ba5d
Merkle Root: 768aead11d787e1bd93df4a3f062fcae23f848d21938d645f07be0cc81d0252f
Random Number: 378395258
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- Bob sends $14 to David
- Charlie sends $39 to Emily
- Emily sends $37 to Charlie
- David sends $24 to Charlie
- David sends $37 to Bob
- Alice sends $12 to Charlie
- David sends $16 to Bob
- David sends $38 to Bob
- David sends $20 to Emily
- Charlie sends $23 to Emily
==================================================
