Block Hash: 70dad5437da4ba17564fa1059df054baa9b9c66b9d8ac941116d09815c0ed1d9
Previous Hash: c619757b8859e5e7050532bb98e4c3b2e070eb3e54059bfa083010e06798e050
Merkle Root: 77d575a3fbba0eaa83dffd740c7a0e7ea7a56cdccaba414a692f64be419b8af1
Random Number: 716722005
Forward Hash: 0
Timestamp: 2023-11-17 11:13:06
Transactions:
- Bob sends $21 to David
- Emily sends $48 to Bob
- Emily sends $40 to Alice
- Alice sends $37 to Charlie
- Alice sends $10 to Charlie
- Emily sends $50 to Bob
- Emily sends $28 to Alice
- Alice sends $38 to Emily
- David sends $34 to Emily
- David sends $12 to Emily
==================================================
