Block Hash: f528a1e30dcfe25ba0d7265d3deea3aed197e482ffd99e738826734d326eeb29
Previous Hash: 63a08b9656ec418310912026720971f4017f8408bd8babfc05aa02b1e03c2cb5
Merkle Root: 581bb69fdf428cdcffa688e255cbc9cd2b3d0baececab167302204250f392656
Random Number: 649761282
Forward Hash: 0
Timestamp: 2023-11-17 11:13:01
Transactions:
- Charlie sends $37 to David
- David sends $13 to Emily
- David sends $41 to Emily
- Alice sends $20 to Charlie
- Bob sends $22 to Charlie
- Emily sends $39 to Charlie
- Emily sends $33 to Bob
- David sends $42 to Charlie
- Bob sends $37 to Emily
- Alice sends $34 to Bob
==================================================
