Block Hash: c2da81f3496e01d91a56cb09db7c1a0e976bc1caa7c78ced40296f919bc1c5f3
Previous Hash: 3d7685942ea3914af4270ec361c2be21d2bce9e8ed598d4cfdc1741449f412aa
Merkle Root: a72044a0fadf6e96cef5084b933ae1a1b53a6c81cb258951818de718159a1e30
Random Number: 990525126
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Bob sends $41 to Alice
- Charlie sends $18 to Bob
- Alice sends $25 to Charlie
- David sends $37 to Charlie
- Alice sends $19 to David
- Emily sends $42 to Charlie
- David sends $25 to Charlie
- David sends $30 to Bob
- Charlie sends $42 to Emily
- Alice sends $23 to Charlie
==================================================
