Block Hash: 040017f8ddc34e80f0fccfb139b5b83b7df403140dd25630b5dd1a717687357b
Previous Hash: 489c6bf6f82abc72eae01dc04f1c14eac6ee82939622af05cda737cffc1ce99a
Merkle Root: 79315850669ba77747577c716be76cdd466cc18c3b50d413ee727d49ed6826f6
Random Number: 937078261
Forward Hash: 0
Timestamp: 2023-11-17 11:12:53
Transactions:
- Emily sends $25 to Bob
- Alice sends $33 to David
- Bob sends $38 to Charlie
- Alice sends $13 to Emily
- David sends $37 to Emily
- Alice sends $46 to Emily
- Charlie sends $31 to David
- David sends $46 to Emily
- Alice sends $43 to Emily
- David sends $15 to Alice
==================================================
