Block Hash: d2c1bf8044ec4a6ed7914f5104aa800a295e1aa0059b6180914e0a38742fb508
Previous Hash: 664b2195d4eaba4d2ea70e8a3ff8cc5b2c8607f3825230514cade8f7ead6d26c
Merkle Root: 1fc43fc78ee503c056c5f652d4cfc707210b1e7ddb58f7330f81b3a49f714f9a
Random Number: 157513538
Forward Hash: 0
Timestamp: 2023-11-17 11:12:42
Transactions:
- Alice sends $33 to Emily
- David sends $46 to Alice
- Emily sends $13 to David
- Bob sends $14 to Alice
- Emily sends $38 to Alice
- Bob sends $12 to Charlie
- Charlie sends $28 to David
- Emily sends $46 to Alice
- David sends $49 to Alice
- Charlie sends $27 to David
==================================================
