Block Hash: e613ccb892717d0fc715dfe01b24f160ca98476b6d1878107fe3ce519bca0940
Previous Hash: ffdf79a83bf98b2727946db78a893144f956caaad2e3740351acfd5681f930de
Merkle Root: 1fceb1b8c2eedd2b3a1404005fc975cfc0cf91b897a89d2d761f02c9c23a2307
Random Number: 21604557
Forward Hash: 0
Timestamp: 2023-11-17 11:13:06
Transactions:
- Bob sends $48 to Emily
- Charlie sends $47 to David
- Alice sends $41 to David
- Alice sends $18 to David
- Alice sends $47 to Charlie
- Alice sends $37 to Charlie
- Emily sends $49 to David
- Emily sends $33 to Bob
- Charlie sends $34 to Alice
- Alice sends $47 to Charlie
==================================================
