Block Hash: 4db1097a36a77bb302b2251be9938bfbf61abe1a594066cd65929103840e3f8d
Previous Hash: 0fb768b8743e953c3cdd412e9a48f721343debfaf3b45c617fa50aeb6da130ed
Merkle Root: b80dea855b189c8cc0558a745c830c4791e481054e11bce33cbfab0db00606ff
Random Number: 363573053
Forward Hash: 0
Timestamp: 2023-11-17 11:13:02
Transactions:
- Bob sends $21 to David
- Charlie sends $46 to Emily
- David sends $21 to Alice
- David sends $38 to Alice
- Charlie sends $26 to Bob
- Alice sends $36 to Charlie
- Alice sends $12 to Bob
- Alice sends $26 to Emily
- David sends $42 to Alice
- David sends $24 to Bob
==================================================
