Block Hash: c023c89028a10914973faf6eb87e5299e6b42c25e7b2749db6a7ba9d5078e155
Previous Hash: e9bb7f4ff408317d4d3906b576b3e4f3f7f3bbc15f0ac8437b5002afec47fe0d
Merkle Root: 73f0338d07842d36a399ab8f8c614f63538834694f43eacb61a9d289e2f65837
Random Number: 642380414
Forward Hash: 0
Timestamp: 2023-11-17 11:12:34
Transactions:
- Alice sends $34 to Emily
- Emily sends $23 to Bob
- David sends $44 to Alice
- David sends $20 to Alice
- David sends $46 to Charlie
- David sends $30 to Bob
- David sends $36 to Charlie
- Bob sends $39 to Alice
- David sends $22 to Alice
- David sends $14 to Alice
==================================================
