Block Hash: 028a7e877c577b34ba13a84ea1da0339c944539bdd8f3809567bc27341990726
Previous Hash: 3b2b7cb1b7bbca6deb0cc04aed7f225384429077d7d3f975528e3546bfa483b3
Merkle Root: 7c5f2325c7c4bc79607a47450c425ab7a6919db876c2cf793c79ef47eca0f6f1
Random Number: 238743762
Forward Hash: 0
Timestamp: 2023-11-17 11:12:44
Transactions:
- David sends $16 to Emily
- Bob sends $41 to Alice
- Charlie sends $29 to Alice
- Bob sends $25 to Alice
- Alice sends $27 to David
- Emily sends $23 to David
- Emily sends $24 to Bob
- Charlie sends $16 to Bob
- Charlie sends $49 to Bob
- Bob sends $48 to David
==================================================
